#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
F3W.2.Ce.001	6/27/2013	11:55:00	no_data	flagstaff	3	wall	2	ceiling	001	1	no_data
F3W.2.Dr.001	6/27/2013	11:55:00	no_data	flagstaff	3	wall	2	drywall	001	1	no_data
F3W.3.Ca.001	6/27/2013	11:55:00	no_data	flagstaff	3	wall	3	carpet	001	1	no_data
F3W.3.Ce.001	6/27/2013	11:55:00	no_data	flagstaff	3	wall	3	ceiling	001	1	no_data
F3W.3.Dr.001	6/27/2013	11:55:00	no_data	flagstaff	3	wall	3	drywall	001	1	no_data
F1C.3.Ca.002	6/29/2013	5:30:00	no_data	flagstaff	1	ceiling	3	carpet	002	1	no_data
F1C.3.Ce.002	6/29/2013	5:30:00	no_data	flagstaff	1	ceiling	3	ceiling	002	1	no_data
F1C.3.Dr.002	6/29/2013	5:30:00	no_data	flagstaff	1	ceiling	3	drywall	002	1	no_data
F1F.3.Ca.002	6/29/2013	5:30:00	no_data	flagstaff	1	floor	3	carpet	002	1	no_data
F1F.3.Ce.002	6/29/2013	5:30:00	no_data	flagstaff	1	floor	3	ceiling	002	1	no_data
F1F.3.Dr.002	6/29/2013	5:30:00	no_data	flagstaff	1	floor	3	drywall	002	1	no_data
F1W.3.Ca.002	6/29/2013	5:30:00	no_data	flagstaff	1	wall	3	carpet	002	1	no_data
F1W.3.Ce.002	6/29/2013	5:30:00	no_data	flagstaff	1	wall	3	ceiling	002	1	no_data
F1W.3.Dr.002	6/29/2013	5:30:00	no_data	flagstaff	1	wall	3	drywall	002	1	no_data
F2C.3.Ca.002	6/29/2013	5:10:00	no_data	flagstaff	2	ceiling	3	carpet	002	1	no_data
F2C.3.Ce.002	6/29/2013	5:10:00	no_data	flagstaff	2	ceiling	3	ceiling	002	1	no_data
F2C.3.Dr.002	6/29/2013	5:10:00	no_data	flagstaff	2	ceiling	3	drywall	002	1	no_data
F2F.3.Ca.002	6/29/2013	5:10:00	no_data	flagstaff	2	floor	3	carpet	002	1	no_data
F2F.3.Ce.002	6/29/2013	5:10:00	no_data	flagstaff	2	floor	3	ceiling	002	1	no_data
F2F.3.Dr.002	6/29/2013	5:10:00	no_data	flagstaff	2	floor	3	drywall	002	1	no_data
F2W.3.Ca.002	6/29/2013	5:10:00	no_data	flagstaff	2	wall	3	carpet	002	1	no_data
F2W.3.Ce.002	6/29/2013	5:10:00	no_data	flagstaff	2	wall	3	ceiling	002	1	no_data
F2W.3.Dr.002	6/29/2013	5:10:00	no_data	flagstaff	2	wall	3	drywall	002	1	no_data
F3C.3.Ca.002	6/29/2013	4:50:00	no_data	flagstaff	3	ceiling	3	carpet	002	1	no_data
F3C.3.Ce.002	6/29/2013	4:50:00	no_data	flagstaff	3	ceiling	3	ceiling	002	1	no_data
F3C.3.Dr.002	6/29/2013	4:50:00	no_data	flagstaff	3	ceiling	3	drywall	002	1	no_data
F3F.3.Ca.002	6/29/2013	4:50:00	no_data	flagstaff	3	floor	3	carpet	002	1	no_data
F3F.3.Ce.002	6/29/2013	4:50:00	no_data	flagstaff	3	floor	3	ceiling	002	1	no_data
F3F.3.Dr.002	6/29/2013	4:50:00	no_data	flagstaff	3	floor	3	drywall	002	1	no_data
F3W.3.Ca.002	6/29/2013	4:50:00	no_data	flagstaff	3	wall	3	carpet	002	1	no_data
F3W.3.Ce.002	6/29/2013	4:50:00	no_data	flagstaff	3	wall	3	ceiling	002	1	no_data
F3W.3.Dr.002	6/29/2013	4:50:00	no_data	flagstaff	3	wall	3	drywall	002	1	no_data
F1C.3.Ca.003	7/1/2013	15:15:00	no_data	flagstaff	1	ceiling	3	carpet	003	1	no_data
F1C.3.Ce.003	7/1/2013	15:15:00	no_data	flagstaff	1	ceiling	3	ceiling	003	1	no_data
F1C.3.Dr.003	7/1/2013	15:15:00	no_data	flagstaff	1	ceiling	3	drywall	003	1	no_data
F1F.3.Ca.003	7/1/2013	15:15:00	no_data	flagstaff	1	floor	3	carpet	003	1	no_data
F1F.3.Ce.003	7/1/2013	15:15:00	no_data	flagstaff	1	floor	3	ceiling	003	1	no_data
F1F.3.Dr.003	7/1/2013	15:15:00	no_data	flagstaff	1	floor	3	drywall	003	1	no_data
F1W.3.Ca.003	7/1/2013	15:15:00	no_data	flagstaff	1	wall	3	carpet	003	1	no_data
F1W.3.Ce.003	7/1/2013	15:15:00	no_data	flagstaff	1	wall	3	ceiling	003	1	no_data
F1W.3.Dr.003	7/1/2013	15:15:00	no_data	flagstaff	1	wall	3	drywall	003	1	no_data
F2C.3.Ca.003	7/1/2013	14:30:00	no_data	flagstaff	2	ceiling	3	carpet	003	1	no_data
F2C.3.Ce.003	7/1/2013	14:30:00	no_data	flagstaff	2	ceiling	3	ceiling	003	1	no_data
F2C.3.Dr.003	7/1/2013	14:30:00	no_data	flagstaff	2	ceiling	3	drywall	003	1	no_data
F2F.3.Ca.003	7/1/2013	14:30:00	no_data	flagstaff	2	floor	3	carpet	003	1	no_data
F2F.3.Ce.003	7/1/2013	14:30:00	no_data	flagstaff	2	floor	3	ceiling	003	1	no_data
F2F.3.Dr.003	7/1/2013	14:30:00	no_data	flagstaff	2	floor	3	drywall	003	1	no_data
F2W.3.Ca.003	7/1/2013	14:30:00	no_data	flagstaff	2	wall	3	carpet	003	1	no_data
F2W.3.Ce.003	7/1/2013	14:30:00	no_data	flagstaff	2	wall	3	ceiling	003	1	no_data
F2W.3.Dr.003	7/1/2013	14:30:00	no_data	flagstaff	2	wall	3	drywall	003	1	no_data
F3C.3.Ca.003	7/1/2013	14:15:00	no_data	flagstaff	3	ceiling	3	carpet	003	1	no_data
F3C.3.Ce.003	7/1/2013	14:15:00	no_data	flagstaff	3	ceiling	3	ceiling	003	1	no_data
F3C.3.Dr.003	7/1/2013	14:15:00	no_data	flagstaff	3	ceiling	3	drywall	003	1	no_data
F3F.3.Ca.003	7/1/2013	14:15:00	no_data	flagstaff	3	floor	3	carpet	003	1	no_data
F3F.3.Ce.003	7/1/2013	14:15:00	no_data	flagstaff	3	floor	3	ceiling	003	1	no_data
F3F.3.Dr.003	7/1/2013	14:15:00	no_data	flagstaff	3	floor	3	drywall	003	1	no_data
F3W.3.Ca.003	7/1/2013	14:15:00	no_data	flagstaff	3	wall	3	carpet	003	1	no_data
F3W.3.Ce.003	7/1/2013	14:15:00	no_data	flagstaff	3	wall	3	ceiling	003	1	no_data
F3W.3.Dr.003	7/1/2013	14:15:00	no_data	flagstaff	3	wall	3	drywall	003	1	no_data
F1C.3.Ca.004	7/3/2013	17:30:00	no_data	flagstaff	1	ceiling	3	carpet	004	1	no_data
F1C.3.Ce.004	7/3/2013	17:30:00	no_data	flagstaff	1	ceiling	3	ceiling	004	1	no_data
F1C.3.Dr.004	7/3/2013	17:30:00	no_data	flagstaff	1	ceiling	3	drywall	004	1	no_data
F1F.3.Ca.004	7/3/2013	17:30:00	no_data	flagstaff	1	floor	3	carpet	004	1	no_data
F1F.3.Ce.004	7/3/2013	17:30:00	no_data	flagstaff	1	floor	3	ceiling	004	1	no_data
F1F.3.Dr.004	7/3/2013	17:30:00	no_data	flagstaff	1	floor	3	drywall	004	1	no_data
