#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
S2C.3.Ce.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	ceiling	3	ceiling	003	1	no_data
S2C.3.Dr.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	ceiling	3	drywall	003	1	no_data
S2F.3.Ca.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	floor	3	carpet	003	1	no_data
S2F.3.Ce.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	floor	3	ceiling	003	1	no_data
S2F.3.Dr.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	floor	3	drywall	003	1	no_data
S2W.3.Ca.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	wall	3	carpet	003	1	no_data
S2W.3.Ce.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	wall	3	ceiling	003	1	no_data
S2W.3.Dr.003	5/31/2013	12:30:00	Time Zero, row 3	san_diego	2	wall	3	drywall	003	1	no_data
S3C.2.Ca.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	ceiling	2	carpet	003	1	no_data
S3C.2.Ce.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	ceiling	2	ceiling	003	1	no_data
S3C.2.Dr.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	ceiling	2	drywall	003	1	no_data
S3F.2.Ca.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	floor	2	carpet	003	1	no_data
S3F.2.Ce.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	floor	2	ceiling	003	1	no_data
S3F.2.Dr.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	floor	2	drywall	003	1	no_data
S3W.2.Ca.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	wall	2	carpet	003	1	no_data
S3W.2.Ce.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	wall	2	ceiling	003	1	no_data
S3W.2.Dr.003	5/31/2013	14:00:00	Time Zero, row 2	san_diego	3	wall	2	drywall	003	1	no_data
S3C.3.Ca.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	ceiling	3	carpet	003	1	no_data
S3C.3.Ce.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	ceiling	3	ceiling	003	1	no_data
S3C.3.Dr.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	ceiling	3	drywall	003	1	no_data
S3F.3.Ca.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	floor	3	carpet	003	1	no_data
S3F.3.Ce.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	floor	3	ceiling	003	1	no_data
S3F.3.Dr.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	floor	3	drywall	003	1	no_data
S3W.3.Ca.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	wall	3	carpet	003	1	no_data
S3W.3.Ce.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	wall	3	ceiling	003	1	no_data
S3W.3.Dr.003	5/31/2013	14:00:00	Time Zero, row 3	san_diego	3	wall	3	drywall	003	1	no_data
S1C.3.Ca.004	6/2/2013	16:20:00	N/A	san_diego	1	ceiling	3	carpet	004	1	no_data
S1C.3.Ce.004	6/2/2013	16:20:00	N/A	san_diego	1	ceiling	3	ceiling	004	1	no_data
S1C.3.Dr.004	6/2/2013	16:20:00	N/A	san_diego	1	ceiling	3	drywall	004	1	no_data
S1F.3.Ca.004	6/2/2013	16:22:00	N/A	san_diego	1	floor	3	carpet	004	1	no_data
S1F.3.Ce.004	6/2/2013	16:22:00	N/A	san_diego	1	floor	3	ceiling	004	1	no_data
S1F.3.Dr.004	6/2/2013	16:22:00	N/A	san_diego	1	floor	3	drywall	004	1	no_data
S1W.3.Ca.004	6/2/2013	16:30:00	N/A	san_diego	1	wall	3	carpet	004	1	no_data
S1W.3.Ce.004	6/2/2013	16:30:00	N/A	san_diego	1	wall	3	ceiling	004	1	no_data
S1W.3.Dr.004	6/2/2013	16:30:00	N/A	san_diego	1	wall	3	drywall	004	1	no_data
S2C.3.Ca.004	6/2/2013	18:35:00	N/A	san_diego	2	ceiling	3	carpet	004	1	no_data
S2C.3.Ce.004	6/2/2013	18:35:00	N/A	san_diego	2	ceiling	3	ceiling	004	1	no_data
S2C.3.Dr.004	6/2/2013	18:35:00	N/A	san_diego	2	ceiling	3	drywall	004	1	no_data
S2F.3.Ca.004	6/2/2013	18:40:00	N/A	san_diego	2	floor	3	carpet	004	1	no_data
S2F.3.Ce.004	6/2/2013	18:40:00	N/A	san_diego	2	floor	3	ceiling	004	1	no_data
S2F.3.Dr.004	6/2/2013	18:40:00	N/A	san_diego	2	floor	3	drywall	004	1	no_data
S2W.3.Ca.004	6/2/2013	18:42:00	N/A	san_diego	2	wall	3	carpet	004	1	no_data
S2W.3.Ce.004	6/2/2013	18:42:00	N/A	san_diego	2	wall	3	ceiling	004	1	no_data
S2W.3.Dr.004	6/2/2013	18:42:00	N/A	san_diego	2	wall	3	drywall	004	1	no_data
S3C.3.Ca.004	6/2/2013	18:51:00	N/A	san_diego	3	ceiling	3	carpet	004	1	no_data
S3C.3.Ce.004	6/2/2013	18:51:00	N/A	san_diego	3	ceiling	3	ceiling	004	1	no_data
S3C.3.Dr.004	6/2/2013	18:51:00	N/A	san_diego	3	ceiling	3	drywall	004	1	no_data
S3F.3.Ca.004	6/2/2013	18:55:00	N/A	san_diego	3	floor	3	carpet	004	1	no_data
S3F.3.Ce.004	6/2/2013	18:55:00	N/A	san_diego	3	floor	3	ceiling	004	1	no_data
S3F.3.Dr.004	6/2/2013	18:55:00	N/A	san_diego	3	floor	3	drywall	004	1	no_data
S3W.3.Ca.004	6/2/2013	19:00:00	N/A	san_diego	3	wall	3	carpet	004	1	no_data
S3W.3.Ce.004	6/2/2013	19:00:00	N/A	san_diego	3	wall	3	ceiling	004	1	no_data
S3W.3.Dr.004	6/2/2013	19:00:00	N/A	san_diego	3	wall	3	drywall	004	1	no_data
S1C.3.Ca.005	6/4/2013	14:55:00	Training Pascal (PR)	san_diego	1	ceiling	3	carpet	005	3	no_data
S1C.3.Ce.005	6/4/2013	14:55:00	Training Pascal (PR)	san_diego	1	ceiling	3	ceiling	005	3	no_data
S1C.3.Dr.005	6/4/2013	14:55:00	Training Pascal (PR)	san_diego	1	ceiling	3	drywall	005	3	no_data
S1F.3.Ca.005	6/4/2013	14:46:00	Training Pascal (PR)	san_diego	1	floor	3	carpet	005	3	no_data
S1F.3.Ce.005	6/4/2013	14:46:00	Training Pascal (PR)	san_diego	1	floor	3	ceiling	005	3	no_data
S1F.3.Dr.005	6/4/2013	14:46:00	Training Pascal (PR)	san_diego	1	floor	3	drywall	005	3	no_data
S1W.3.Ca.005	6/4/2013	14:50:00	Training Pascal (PR)	san_diego	1	wall	3	carpet	005	3	no_data
S1W.3.Ce.005	6/4/2013	14:50:00	Training Pascal (PR)	san_diego	1	wall	3	ceiling	005	3	no_data
S1W.3.Dr.005	6/4/2013	14:50:00	Training Pascal (PR)	san_diego	1	wall	3	drywall	005	3	no_data
